

 56: 1127.744019, 1200.168213 avg loss, 0.000000 rate, 4.040109 seconds, 3584 images, 53.932737 hours left

 57: 1119.031494, 1192.054565 avg loss, 0.000000 rate, 3.449987 seconds, 3648 images, 53.682542 hours left

 58: 1100.835449, 1182.932617 avg loss, 0.000000 rate, 3.261191 seconds, 3712 images, 53.375265 hours left

 59: 1087.944702, 1173.433838 avg loss, 0.000000 rate, 3.820736 seconds, 3776 images, 53.058530 hours left

 60: 1096.520020, 1165.742432 avg loss, 0.000000 rate, 3.408175 seconds, 3840 images, 52.782120 hours left

 61: 934.021667, 1142.570312 avg loss, 0.000000 rate, 2.946533 seconds, 3904 images, 52.519753 hours left

 62: 932.934998, 1121.606812 avg loss, 0.000000 rate, 2.770404 seconds, 3968 images, 52.335039 hours left

 63: 913.577820, 1100.803955 avg loss, 0.000000 rate, 3.043356 seconds, 4032 images, 52.094536 hours left

 64: 923.525452, 1083.076050 avg loss, 0.000000 rate, 3.568455 seconds, 4096 images, 51.869162 hours left

 65: 912.676819, 1066.036133 avg loss, 0.000000 rate, 3.027399 seconds, 4160 images, 51.680021 hours left

 66: 901.425903, 1049.575073 avg loss, 0.000000 rate, 3.487396 seconds, 4224 images, 51.369341 hours left

 67: 896.409119, 1034.258423 avg loss, 0.000000 rate, 3.496985 seconds, 4288 images, 51.172762 hours left

 68: 881.766724, 1019.009277 avg loss, 0.000000 rate, 3.408659 seconds, 4352 images, 50.910657 hours left

 69: 878.614136, 1004.969788 avg loss, 0.000000 rate, 3.242469 seconds, 4416 images, 50.628279 hours left

 70: 865.085388, 990.981323 avg loss, 0.000000 rate, 3.289914 seconds, 4480 images, 50.337635 hours left

 71: 1395.963501, 1031.479492 avg loss, 0.000000 rate, 5.151732 seconds, 4544 images, 50.053046 hours left

 72: 1382.714355, 1066.603027 avg loss, 0.000000 rate, 4.918254 seconds, 4608 images, 49.895063 hours left

 73: 1337.564209, 1093.699097 avg loss, 0.000000 rate, 4.412019 seconds, 4672 images, 49.723464 hours left

 74: 1310.502930, 1115.379517 avg loss, 0.000000 rate, 4.662104 seconds, 4736 images, 49.519600 hours left

 75: 1287.977417, 1132.639282 avg loss, 0.000000 rate, 4.653607 seconds, 4800 images, 49.336049 hours left

 76: 1277.405151, 1147.115845 avg loss, 0.000000 rate, 5.104042 seconds, 4864 images, 49.152142 hours left

 77: 1250.332886, 1157.437500 avg loss, 0.000000 rate, 5.007440 seconds, 4928 images, 48.999945 hours left

 78: 1227.637329, 1164.457520 avg loss, 0.000000 rate, 5.331632 seconds, 4992 images, 48.842806 hours left

 79: 1208.699585, 1168.881714 avg loss, 0.000000 rate, 4.842520 seconds, 5056 images, 48.708794 hours left

 80: 1154.243652, 1167.417969 avg loss, 0.000000 rate, 5.481179 seconds, 5120 images, 48.543579 hours left

 81: 703.014160, 1120.977539 avg loss, 0.000000 rate, 3.630289 seconds, 5184 images, 48.422750 hours left

 82: 707.473877, 1079.627197 avg loss, 0.000000 rate, 3.051269 seconds, 5248 images, 48.264805 hours left

 83: 653.183899, 1036.982910 avg loss, 0.000000 rate, 3.428011 seconds, 5312 images, 48.009259 hours left

 84: 668.321655, 1000.116760 avg loss, 0.000000 rate, 3.471018 seconds, 5376 images, 47.756994 hours left

 85: 643.772217, 964.482300 avg loss, 0.000000 rate, 3.717275 seconds, 5440 images, 47.510093 hours left

 86: 634.139832, 931.448059 avg loss, 0.000000 rate, 4.097374 seconds, 5504 images, 47.282714 hours left

 87: 615.678528, 899.871094 avg loss, 0.000000 rate, 4.857493 seconds, 5568 images, 47.082158 hours left

 88: 586.981567, 868.582153 avg loss, 0.000000 rate, 4.126959 seconds, 5632 images, 46.934135 hours left

 89: 563.713867, 838.095337 avg loss, 0.000000 rate, 3.989895 seconds, 5696 images, 46.750041 hours left

 90: 571.552673, 811.441040 avg loss, 0.000000 rate, 3.536758 seconds, 5760 images, 46.547684 hours left

 91: 472.550781, 777.552002 avg loss, 0.000000 rate, 2.834256 seconds, 5824 images, 46.317238 hours left

 92: 443.311859, 744.127991 avg loss, 0.000000 rate, 3.288471 seconds, 5888 images, 46.042402 hours left

 93: 449.485443, 714.663757 avg loss, 0.000000 rate, 3.477277 seconds, 5952 images, 45.841687 hours left

 94: 443.649994, 687.562378 avg loss, 0.000000 rate, 2.938552 seconds, 6016 images, 45.617772 hours left

 95: 403.466644, 659.152832 avg loss, 0.000000 rate, 2.570958 seconds, 6080 images, 45.356868 hours left

 96: 384.244995, 631.662048 avg loss, 0.000000 rate, 2.518039 seconds, 6144 images, 45.074110 hours left

 97: 367.458069, 605.241638 avg loss, 0.000000 rate, 2.997510 seconds, 6208 images, 44.791547 hours left

 98: 374.995087, 582.216980 avg loss, 0.000000 rate, 3.601737 seconds, 6272 images, 44.542749 hours left

 99: 386.512451, 562.646545 avg loss, 0.000000 rate, 3.299267 seconds, 6336 images, 44.336540 hours left

 100: 355.158875, 541.897766 avg loss, 0.000000 rate, 3.061802 seconds, 6400 images, 44.179276 hours left

 101: 640.352173, 551.743225 avg loss, 0.000000 rate, 6.308683 seconds, 6464 images, 43.940846 hours left

 102: 630.447693, 559.613647 avg loss, 0.000000 rate, 5.596265 seconds, 6528 images, 43.920406 hours left

 103: 598.118469, 563.464111 avg loss, 0.000000 rate, 5.364634 seconds, 6592 images, 43.853040 hours left

 104: 562.819458, 563.399658 avg loss, 0.000000 rate, 5.083121 seconds, 6656 images, 43.770999 hours left

 105: 525.647217, 559.624390 avg loss, 0.000000 rate, 4.722374 seconds, 6720 images, 43.671169 hours left

 106: 502.907654, 553.952698 avg loss, 0.000000 rate, 5.311895 seconds, 6784 images, 43.548144 hours left

 107: 492.496948, 547.807129 avg loss, 0.000000 rate, 5.710763 seconds, 6848 images, 43.465328 hours left

 108: 479.259125, 540.952332 avg loss, 0.000000 rate, 5.527318 seconds, 6912 images, 43.409841 hours left

 109: 452.933380, 532.150452 avg loss, 0.000000 rate, 5.466229 seconds, 6976 images, 43.343784 hours left

 110: 431.245880, 522.059998 avg loss, 0.000000 rate, 5.736325 seconds, 7040 images, 43.273416 hours left

 111: 259.864380, 495.840424 avg loss, 0.000000 rate, 3.269995 seconds, 7104 images, 43.221483 hours left

 112: 226.214157, 468.877808 avg loss, 0.000000 rate, 2.834530 seconds, 7168 images, 43.006484 hours left

 113: 209.880371, 442.978058 avg loss, 0.000000 rate, 3.354470 seconds, 7232 images, 42.764642 hours left

